id2,geography,year,state,percent_renter,percent_asian,percent_black,percent_hispanic,percent_multifamily_housing,eviction_rate,poverty_rate,median_income,avg_cost_electricity,avg_cost_gas,avg_cost_water,asthma_rate
8031015300,"Census Tract 153, Denver County, Colorado",2013,CO,0.709,0.047,0.087,0.119,0.74968815,2.12,4.25,44853,1543.11,2327.11,236.96,n/a
8031015400,"Census Tract 154, Denver County, Colorado",2013,CO,0.309,0.071,0.022,0.301,0.123883264,0.73,8.24,52000,-9999,-9999,-9999,n/a
8031015500,"Census Tract 155, Denver County, Colorado",2013,CO,0.878,0.02,0.07,0.266,0.844409283,7.05,12.99,33779,1140,636,147,n/a
8031015600,"Census Tract 156, Denver County, Colorado",2013,CO,0.634,0.056,0.03,0.72,0.419412289,6.41,38.08,27733,845.1,963.6,441.48,n/a
8031015700,"Census Tract 157, Denver County, Colorado",2013,CO,0.523,0.081,0.018,0.547,0.471606034,7.72,12.82,41481,-9999,-9999,-9999,n/a
13089020100,"Census Tract 201, DeKalb County, Georgia",2013,GA,0.216,0.048,0.006,0.035,0.076379066,2.6,3.85,159362,1882.98,986.68,486.52,n/a
13089020200,"Census Tract 202, DeKalb County, Georgia",2013,GA,0.463,0.027,0.041,0.044,0.440766551,1.73,1.42,79289,1160.7,1488.93,665.46,n/a
13089020300,"Census Tract 203, DeKalb County, Georgia",2013,GA,0.316,0.035,0.103,0.055,0.226482924,1.22,4.8,104311,1376.26,1407.65,668.88,n/a
13089020400,"Census Tract 204, DeKalb County, Georgia",2013,GA,0.377,0.012,0.031,0.042,0.470261697,1.64,3.27,83378,1191.62,708.33,616.99,n/a
13089020500,"Census Tract 205, DeKalb County, Georgia",2013,GA,0.536,0.015,0.553,0.101,0.368774482,4.33,11.77,39282,791.35,1286.62,307.69,n/a
13089020600,"Census Tract 206, DeKalb County, Georgia",2013,GA,0.525,0.038,0.57,0.022,0.504970179,6.17,34.21,39718,791.35,1286.62,307.69,n/a
13089020700,"Census Tract 207, DeKalb County, Georgia",2013,GA,0.396,0.017,0.409,0.01,0.405063291,5.58,13.73,46458,1508.43,875.4,517,n/a
13089020801,"Census Tract 208.01, DeKalb County, Georgia",2013,GA,0.135,0,0.464,0.027,0.01793339,2.53,7.6,70556,1031.03,912.06,763.4,n/a
13089020802,"Census Tract 208.02, DeKalb County, Georgia",2013,GA,0.369,0.009,0.592,0.056,0.272535582,2.93,16.25,42679,1404.34,1105.69,954.51,n/a
13089020900,"Census Tract 209, DeKalb County, Georgia",2013,GA,0.309,0.006,0.543,0.044,0.118115942,3.85,7,37242,-9999,-9999,-9999,n/a
13089021101,"Census Tract 211.01, DeKalb County, Georgia",2013,GA,0.185,0.062,0.131,0.04,0.037285608,1.72,3.38,116250,1884.16,528.32,837.33,n/a
13089021102,"Census Tract 211.02, DeKalb County, Georgia",2013,GA,0.512,0.066,0.08,0.021,0.514043863,1.03,5.57,89351,1009.3,759.41,469.77,n/a
13089021202,"Census Tract 212.02, DeKalb County, Georgia",2013,GA,0.243,0.045,0.081,0.053,0.2563281,3.3,1.53,97583,1476.39,712.92,390.16,n/a
13089021204,"Census Tract 212.04, DeKalb County, Georgia",2013,GA,0.888,0.009,0.011,0.869,0.809446254,0.2,55.81,31462,1892.37,703.69,546.7,n/a
13089021208,"Census Tract 212.08, DeKalb County, Georgia",2013,GA,0.335,0.079,0.095,0.137,0.416335791,1.64,8.08,57964,778.91,1237.09,367.55,n/a
